reading dataset
Dataset({
    features: ['input_ids', 'attention_mask', 'labels'],
    num_rows: 1472
})
{'loss': 3.4328, 'learning_rate': 4.9500000000000004e-05, 'epoch': 1.0}
{'loss': 2.9746, 'learning_rate': 4.9e-05, 'epoch': 2.0}
{'loss': 2.8107, 'learning_rate': 4.85e-05, 'epoch': 3.0}
{'loss': 2.7176, 'learning_rate': 4.8e-05, 'epoch': 4.0}
{'loss': 2.6463, 'learning_rate': 4.75e-05, 'epoch': 5.0}
{'loss': 2.5862, 'learning_rate': 4.7e-05, 'epoch': 6.0}
{'loss': 2.539, 'learning_rate': 4.6500000000000005e-05, 'epoch': 7.0}
{'loss': 2.4979, 'learning_rate': 4.600000000000001e-05, 'epoch': 8.0}
{'loss': 2.464, 'learning_rate': 4.55e-05, 'epoch': 9.0}
{'loss': 2.4348, 'learning_rate': 4.5e-05, 'epoch': 10.0}
{'loss': 2.4066, 'learning_rate': 4.4500000000000004e-05, 'epoch': 11.0}
{'loss': 2.3847, 'learning_rate': 4.4000000000000006e-05, 'epoch': 12.0}
{'loss': 2.3631, 'learning_rate': 4.35e-05, 'epoch': 13.0}
{'loss': 2.3377, 'learning_rate': 4.3e-05, 'epoch': 14.0}
{'loss': 2.3184, 'learning_rate': 4.25e-05, 'epoch': 15.0}
{'loss': 2.297, 'learning_rate': 4.2e-05, 'epoch': 16.0}
{'loss': 2.2855, 'learning_rate': 4.15e-05, 'epoch': 17.0}
{'loss': 2.269, 'learning_rate': 4.1e-05, 'epoch': 18.0}
{'loss': 2.2506, 'learning_rate': 4.05e-05, 'epoch': 19.0}
{'loss': 2.2394, 'learning_rate': 4e-05, 'epoch': 20.0}
{'loss': 2.2264, 'learning_rate': 3.9500000000000005e-05, 'epoch': 21.0}
{'loss': 2.2142, 'learning_rate': 3.9000000000000006e-05, 'epoch': 22.0}
{'loss': 2.2041, 'learning_rate': 3.85e-05, 'epoch': 23.0}
{'loss': 2.1918, 'learning_rate': 3.8e-05, 'epoch': 24.0}
{'loss': 2.1819, 'learning_rate': 3.7500000000000003e-05, 'epoch': 25.0}
{'loss': 2.1702, 'learning_rate': 3.7e-05, 'epoch': 26.0}
{'loss': 2.1619, 'learning_rate': 3.65e-05, 'epoch': 27.0}
{'loss': 2.1521, 'learning_rate': 3.6e-05, 'epoch': 28.0}
{'loss': 2.1422, 'learning_rate': 3.55e-05, 'epoch': 29.0}
{'loss': 2.1362, 'learning_rate': 3.5e-05, 'epoch': 30.0}
{'loss': 2.129, 'learning_rate': 3.45e-05, 'epoch': 31.0}
{'loss': 2.1207, 'learning_rate': 3.4000000000000007e-05, 'epoch': 32.0}
{'loss': 2.1117, 'learning_rate': 3.35e-05, 'epoch': 33.0}
{'loss': 2.104, 'learning_rate': 3.3e-05, 'epoch': 34.0}
{'loss': 2.0957, 'learning_rate': 3.2500000000000004e-05, 'epoch': 35.0}
{'loss': 2.0912, 'learning_rate': 3.2000000000000005e-05, 'epoch': 36.0}
{'loss': 2.0847, 'learning_rate': 3.15e-05, 'epoch': 37.0}
{'loss': 2.0785, 'learning_rate': 3.1e-05, 'epoch': 38.0}
{'loss': 2.0735, 'learning_rate': 3.05e-05, 'epoch': 39.0}
{'loss': 2.069, 'learning_rate': 3e-05, 'epoch': 40.0}
{'loss': 2.0638, 'learning_rate': 2.95e-05, 'epoch': 41.0}
{'loss': 2.0574, 'learning_rate': 2.9e-05, 'epoch': 42.0}
{'loss': 2.0512, 'learning_rate': 2.8499999999999998e-05, 'epoch': 43.0}
{'loss': 2.0459, 'learning_rate': 2.8000000000000003e-05, 'epoch': 44.0}
{'loss': 2.0435, 'learning_rate': 2.7500000000000004e-05, 'epoch': 45.0}
{'loss': 2.0349, 'learning_rate': 2.7000000000000002e-05, 'epoch': 46.0}
{'loss': 2.0354, 'learning_rate': 2.6500000000000004e-05, 'epoch': 47.0}
{'loss': 2.0314, 'learning_rate': 2.6000000000000002e-05, 'epoch': 48.0}
{'loss': 2.0227, 'learning_rate': 2.5500000000000003e-05, 'epoch': 49.0}
{'loss': 2.0185, 'learning_rate': 2.5e-05, 'epoch': 50.0}
{'loss': 2.0124, 'learning_rate': 2.45e-05, 'epoch': 51.0}
{'loss': 2.0138, 'learning_rate': 2.4e-05, 'epoch': 52.0}
{'loss': 2.0077, 'learning_rate': 2.35e-05, 'epoch': 53.0}
{'loss': 2.003, 'learning_rate': 2.3000000000000003e-05, 'epoch': 54.0}
{'loss': 2.0015, 'learning_rate': 2.25e-05, 'epoch': 55.0}
{'loss': 1.9986, 'learning_rate': 2.2000000000000003e-05, 'epoch': 56.0}
{'loss': 1.9905, 'learning_rate': 2.15e-05, 'epoch': 57.0}
{'loss': 1.9923, 'learning_rate': 2.1e-05, 'epoch': 58.0}
{'loss': 1.9879, 'learning_rate': 2.05e-05, 'epoch': 59.0}
{'loss': 1.9843, 'learning_rate': 2e-05, 'epoch': 60.0}
