reading dataset
{'loss': 2.9843, 'learning_rate': 4.9500000000000004e-05, 'epoch': 1.0}
{'loss': 2.7017, 'learning_rate': 4.9e-05, 'epoch': 2.0}
{'loss': 2.5934, 'learning_rate': 4.85e-05, 'epoch': 3.0}
{'loss': 2.5249, 'learning_rate': 4.8e-05, 'epoch': 4.0}
{'loss': 2.4725, 'learning_rate': 4.75e-05, 'epoch': 5.0}
{'loss': 2.4306, 'learning_rate': 4.7e-05, 'epoch': 6.0}
{'loss': 2.3969, 'learning_rate': 4.6500000000000005e-05, 'epoch': 7.0}
{'loss': 2.367, 'learning_rate': 4.600000000000001e-05, 'epoch': 8.0}
{'loss': 2.339, 'learning_rate': 4.55e-05, 'epoch': 9.0}
{'loss': 2.3158, 'learning_rate': 4.5e-05, 'epoch': 10.0}
{'loss': 2.2936, 'learning_rate': 4.4500000000000004e-05, 'epoch': 11.0}
{'loss': 2.2745, 'learning_rate': 4.4000000000000006e-05, 'epoch': 12.0}
{'loss': 2.2574, 'learning_rate': 4.35e-05, 'epoch': 13.0}
{'loss': 2.2405, 'learning_rate': 4.3e-05, 'epoch': 14.0}
{'loss': 2.2249, 'learning_rate': 4.25e-05, 'epoch': 15.0}
{'loss': 2.2102, 'learning_rate': 4.2e-05, 'epoch': 16.0}
{'loss': 2.1978, 'learning_rate': 4.15e-05, 'epoch': 17.0}
{'loss': 2.1844, 'learning_rate': 4.1e-05, 'epoch': 18.0}
{'loss': 2.1738, 'learning_rate': 4.05e-05, 'epoch': 19.0}
{'loss': 2.1625, 'learning_rate': 4e-05, 'epoch': 20.0}
{'loss': 2.1525, 'learning_rate': 3.9500000000000005e-05, 'epoch': 21.0}
{'loss': 2.1424, 'learning_rate': 3.9000000000000006e-05, 'epoch': 22.0}
{'loss': 2.1328, 'learning_rate': 3.85e-05, 'epoch': 23.0}
{'loss': 2.1235, 'learning_rate': 3.8e-05, 'epoch': 24.0}
{'loss': 2.1149, 'learning_rate': 3.7500000000000003e-05, 'epoch': 25.0}
{'loss': 2.1063, 'learning_rate': 3.7e-05, 'epoch': 26.0}
{'loss': 2.0996, 'learning_rate': 3.65e-05, 'epoch': 27.0}
